alpha3,economy,weight_ex_hk_mac
TTO,Trinidad and Tobago,0.0003134916749087
TUN,Tunisia,0.0006086696257442
TUR,Turkey,0.0095335989026583
TUV,Tuvalu,1.195377596998469e-06
TZA,Tanzania,0.0005229706523576
UGA,Uganda,0.0005200397521379
UKR,Ukraine,0.0013730303071853
URY,Uruguay,0.000511474353567
USA,United States,0.2902645947955189
UZB,Uzbekistan,0.0006841365897456
VCT,Saint Vincent and the Grenadines,1.373376147978993e-05
VEN,Venezuela,0.0027432323613733
VNM,Vietnam,0.0102339390070225
VUT,Vanuatu,1.401961563970415e-05
WSM,Samoa,1.4383839008840887e-05
YEM,Yemen,0.0004835202474846
ZAF,South Africa,0.0069020876140891
ZMB,Zambia,0.0001297093072838
ZWE,Zimbabwe,0.0005582841405185
